,date,home_team,score,away_team
317,02-07-2023,Minnesota Utd,4 - 1,Portland Timbers
318,09-07-2023,Minnesota Utd,1 - 4,Austin
319,13-07-2023,Houston Dynamo,0 - 3,Minnesota Utd
320,16-07-2023,Minnesota Utd,? - ?,Los Angeles FC
321,26-02-2023,Club Internacional de Fútbol Miami,2 - 0,Montreal Impact
322,05-03-2023,Austin,1 - 0,Montreal Impact
323,12-03-2023,Nashville SC (MLS),2 - 0,Montreal Impact
324,18-03-2023,Montreal Impact,3 - 2,Philadelphia Union
325,02-04-2023,Vancouver Whitecaps,5 - 0,Montreal Impact
326,08-04-2023,New England Revolution,4 - 0,Montreal Impact
327,15-04-2023,Montreal Impact,0 - 1,DC United
328,22-04-2023,Montreal Impact,2 - 0,New York Red Bulls
329,30-04-2023,Sporting Kansas City,0 - 2,Montreal Impact
330,06-05-2023,Montreal Impact,2 - 0,Orlando City SC
331,13-05-2023,Montreal Impact,2 - 0,Toronto FC
332,17-05-2023,FC Cincinnati,3 - 0,Montreal Impact
333,20-05-2023,New York Red Bulls,2 - 1,Montreal Impact
334,27-05-2023,Montreal Impact,1 - 0,Club Internacional de Fútbol Miami
335,31-05-2023,DC United,2 - 2,Montreal Impact
336,03-06-2023,Philadelphia Union,3 - 0,Montreal Impact
337,10-06-2023,Montreal Impact,4 - 0,Minnesota Utd
338,21-06-2023,Montreal Impact,1 - 0,Nashville SC (MLS)
339,24-06-2023,Charlotte,0 - 0,Montreal Impact
340,01-07-2023,Montreal Impact,0 - 1,New York City FC
341,08-07-2023,Montreal Impact,0 - 1,Atlanta United FC
342,13-07-2023,Chicago Fire,3 - 0,Montreal Impact
343,15-07-2023,Montreal Impact,? - ?,Charlotte
344,25-02-2023,Nashville SC (MLS),2 - 0,New York City FC
345,05-03-2023,New York Red Bulls,0 - 0,Nashville SC (MLS)
346,12-03-2023,Nashville SC (MLS),2 - 0,Montreal Impact
347,18-03-2023,New England Revolution,1 - 0,Nashville SC (MLS)
348,26-03-2023,Nashville SC (MLS),0 - 1,FC Cincinnati
349,01-04-2023,Orlando City SC,0 - 2,Nashville SC (MLS)
350,09-04-2023,Nashville SC (MLS),0 - 0,Toronto FC
351,15-04-2023,New York City FC,2 - 1,Nashville SC (MLS)
352,23-04-2023,Nashville SC (MLS),1 - 1,Los Angeles FC
353,29-04-2023,Nashville SC (MLS),3 - 1,Atlanta United FC
354,07-05-2023,Nashville SC (MLS),3 - 0,Chicago Fire
355,13-05-2023,DC United,1 - 1,Nashville SC (MLS)
356,18-05-2023,Nashville SC (MLS),2 - 1,Club Internacional de Fútbol Miami
357,20-05-2023,Charlotte,1 - 2,Nashville SC (MLS)
358,29-05-2023,Nashville SC (MLS),3 - 1,Columbus Crew
359,04-06-2023,FC Dallas,1 - 2,Nashville SC (MLS)
360,10-06-2023,Toronto FC,1 - 1,Nashville SC (MLS)
361,18-06-2023,Nashville SC (MLS),3 - 1,St. Louis City
