,date,home_team,score,away_team
289,05-11-2022,CSKA Moscow,0 - 1,Nizhny Novgorod
290,11-11-2022,Nizhny Novgorod,3 - 2,Terek Grozny
291,04-03-2023,Zenit St Petersburg,3 - 0,Nizhny Novgorod
292,12-03-2023,Rostov,2 - 1,Nizhny Novgorod
293,19-03-2023,Nizhny Novgorod,1 - 1,Torpedo Moskva
294,01-04-2023,Nizhny Novgorod,0 - 4,Lokomotiv M
295,09-04-2023,Krasnodar,3 - 1,Nizhny Novgorod
296,15-04-2023,Dinamo Moscow,3 - 1,Nizhny Novgorod
297,23-04-2023,Nizhny Novgorod,2 - 1,Krylya Samara
298,30-04-2023,Gazovik Orenburg,1 - 0,Nizhny Novgorod
299,07-05-2023,Nizhny Novgorod,0 - 0,Ural
300,14-05-2023,Fakel Voronezh,1 - 0,Nizhny Novgorod
301,22-05-2023,Nizhny Novgorod,4 - 0,FK SOCHI
302,28-05-2023,Spartak M,0 - 0,Nizhny Novgorod
303,03-06-2023,Nizhny Novgorod,2 - 0,FC Khimki
304,07-06-2023,Rodina Moskva,0 - 3,Nizhny Novgorod
305,10-06-2023,Nizhny Novgorod,0 - 2,Rodina Moskva
306,07-06-2023,Rodina Moskva,0 - 3,Nizhny Novgorod
307,10-06-2023,Nizhny Novgorod,0 - 2,Rodina Moskva
308,17-07-2022,Dinamo Moscow,1 - 1,Rostov
309,24-07-2022,Lokomotiv M,2 - 2,Rostov
310,31-07-2022,Rostov,1 - 0,FC Khimki
311,07-08-2022,Rostov,2 - 1,Gazovik Orenburg
312,14-08-2022,Nizhny Novgorod,3 - 4,Rostov
313,20-08-2022,Rostov,2 - 2,FK SOCHI
314,28-08-2022,Rostov,0 - 0,CSKA Moscow
315,05-09-2022,Torpedo Moskva,0 - 1,Rostov
316,11-09-2022,Rostov,4 - 2,Spartak M
317,17-09-2022,Rostov,2 - 1,Krylya Samara
318,02-10-2022,Zenit St Petersburg,3 - 1,Rostov
319,09-10-2022,Rostov,3 - 2,Krasnodar
320,14-10-2022,Rostov,1 - 2,Ural
321,22-10-2022,Fakel Voronezh,1 - 1,Rostov
322,29-10-2022,Terek Grozny,1 - 2,Rostov
323,06-11-2022,Rostov,2 - 1,Dinamo Moscow
324,12-11-2022,Krylya Samara,1 - 3,Rostov
325,04-03-2023,Rostov,1 - 3,Lokomotiv M
326,12-03-2023,Rostov,2 - 1,Nizhny Novgorod
327,19-03-2023,FC Khimki,0 - 1,Rostov
328,02-04-2023,Rostov,2 - 1,Torpedo Moskva
329,10-04-2023,Gazovik Orenburg,2 - 2,Rostov
330,16-04-2023,Rostov,0 - 0,Zenit St Petersburg
331,23-04-2023,Ural,1 - 3,Rostov
332,29-04-2023,Spartak M,1 - 1,Rostov
333,06-05-2023,Rostov,0 - 2,Fakel Voronezh
334,14-05-2023,FK SOCHI,1 - 0,Rostov
335,21-05-2023,Krasnodar,3 - 0,Rostov
336,28-05-2023,Rostov,3 - 2,Terek Grozny
337,03-06-2023,CSKA Moscow,4 - 1,Rostov
338,16-07-2022,Terek Grozny,1 - 1,Spartak M
339,23-07-2022,Krasnodar,1 - 4,Spartak M
340,31-07-2022,Spartak M,4 - 1,Gazovik Orenburg
341,06-08-2022,Ural,0 - 2,Spartak M
342,14-08-2022,Spartak M,3 - 0,FK SOCHI
343,20-08-2022,Dinamo Moscow,1 - 0,Spartak M
