,date,home_team,score,away_team
392,14-08-2022,FC Volendam,1 - 4,NEC Nijmegen
393,26-08-2022,NEC Nijmegen,1 - 1,Groningen
394,01-09-2022,AZ Alkmaar,1 - 1,NEC Nijmegen
395,04-09-2022,Heerenveen,0 - 0,NEC Nijmegen
396,10-09-2022,NEC Nijmegen,1 - 1,Fortuna Sittard
397,16-09-2022,Utrecht,0 - 0,NEC Nijmegen
398,02-10-2022,NEC Nijmegen,1 - 1,Feyenoord
399,08-10-2022,NEC Nijmegen,1 - 1,Excelsior
400,16-10-2022,Sparta Rotterdam,2 - 0,NEC Nijmegen
401,23-10-2022,NEC Nijmegen,3 - 3,GO Ahead Eagles
402,30-10-2022,PSV Eindhoven,3 - 0,NEC Nijmegen
403,04-11-2022,Cambuur,0 - 1,NEC Nijmegen
404,13-11-2022,NEC Nijmegen,6 - 1,Waalwijk
405,08-01-2023,NEC Nijmegen,1 - 1,Ajax
406,15-01-2023,Vitesse,0 - 0,NEC Nijmegen
407,21-01-2023,NEC Nijmegen,3 - 1,FC Emmen
408,25-01-2023,Feyenoord,2 - 0,NEC Nijmegen
409,28-01-2023,NEC Nijmegen,1 - 1,Sparta Rotterdam
410,05-02-2023,GO Ahead Eagles,1 - 0,NEC Nijmegen
411,11-02-2023,NEC Nijmegen,0 - 0,Cambuur
412,19-02-2023,Excelsior,0 - 3,NEC Nijmegen
413,25-02-2023,NEC Nijmegen,3 - 0,FC Volendam
414,05-03-2023,Ajax,1 - 0,NEC Nijmegen
415,12-03-2023,NEC Nijmegen,2 - 2,Utrecht
416,18-03-2023,Waalwijk,1 - 3,NEC Nijmegen
417,01-04-2023,NEC Nijmegen,2 - 4,PSV Eindhoven
418,09-04-2023,FC Emmen,0 - 0,NEC Nijmegen
419,16-04-2023,NEC Nijmegen,1 - 4,Vitesse
420,25-04-2023,Groningen,0 - 1,NEC Nijmegen
421,06-05-2023,NEC Nijmegen,2 - 3,Heerenveen
422,12-05-2023,Twente,4 - 0,NEC Nijmegen
423,21-05-2023,NEC Nijmegen,0 - 3,AZ Alkmaar
