,date,home_team,score,away_team
216,04-02-2023,Livingston,3 - 1,Kilmarnock
217,18-02-2023,Hibernian,2 - 0,Kilmarnock
218,25-02-2023,Kilmarnock,1 - 1,Motherwell
219,04-03-2023,Rangers,3 - 1,Kilmarnock
220,18-03-2023,Kilmarnock,1 - 1,St Johnstone
221,01-04-2023,Kilmarnock,2 - 1,Hearts
222,08-04-2023,Aberdeen,2 - 0,Kilmarnock
223,16-04-2023,Kilmarnock,1 - 4,Celtic
224,22-04-2023,St Mirren,0 - 2,Kilmarnock
225,06-05-2023,Motherwell,2 - 0,Kilmarnock
226,13-05-2023,Kilmarnock,2 - 0,Livingston
227,20-05-2023,Kilmarnock,0 - 1,St Johnstone
228,24-05-2023,Dundee United,0 - 3,Kilmarnock
229,28-05-2023,Kilmarnock,3 - 1,Ross County
230,30-07-2022,Livingston,1 - 2,Rangers
231,07-08-2022,Dundee United,0 - 1,Livingston
232,13-08-2022,Livingston,2 - 1,Hibernian
233,20-08-2022,Motherwell,1 - 0,Livingston
234,27-08-2022,Aberdeen,5 - 0,Livingston
235,03-09-2022,Livingston,1 - 0,Hearts
236,17-09-2022,Livingston,1 - 0,Kilmarnock
237,01-10-2022,St Mirren,2 - 1,Livingston
238,08-10-2022,Livingston,0 - 1,Ross County
239,15-10-2022,Livingston,1 - 0,St Johnstone
240,22-10-2022,Rangers,1 - 1,Livingston
241,30-10-2022,Livingston,0 - 3,Celtic
242,04-11-2022,Kilmarnock,2 - 3,Livingston
243,08-11-2022,Livingston,2 - 1,Aberdeen
244,12-11-2022,Hearts,1 - 1,Livingston
245,21-12-2022,Celtic,2 - 1,Livingston
246,24-12-2022,Hibernian,4 - 0,Livingston
247,28-12-2022,Livingston,1 - 1,St Mirren
248,02-01-2023,Livingston,1 - 1,Motherwell
249,07-01-2023,Ross County,0 - 2,Livingston
250,14-01-2023,St Johnstone,2 - 4,Livingston
251,29-01-2023,Livingston,0 - 0,Hearts
252,01-02-2023,Celtic,3 - 0,Livingston
253,04-02-2023,Livingston,3 - 1,Kilmarnock
254,18-02-2023,Livingston,0 - 3,Rangers
255,25-02-2023,Aberdeen,1 - 0,Livingston
256,04-03-2023,Livingston,1 - 4,Hibernian
257,08-03-2023,Livingston,1 - 1,Dundee United
258,18-03-2023,Livingston,2 - 1,Ross County
259,01-04-2023,St Mirren,3 - 0,Livingston
260,08-04-2023,Motherwell,3 - 0,Livingston
261,15-04-2023,Livingston,2 - 0,St Johnstone
262,22-04-2023,Dundee United,2 - 0,Livingston
263,06-05-2023,Ross County,2 - 0,Livingston
264,13-05-2023,Kilmarnock,2 - 0,Livingston
265,20-05-2023,Livingston,2 - 1,Dundee United
266,24-05-2023,Livingston,1 - 1,Motherwell
267,28-05-2023,St Johnstone,2 - 0,Livingston
268,31-07-2022,St Mirren,0 - 1,Motherwell
269,06-08-2022,Motherwell,1 - 2,St Johnstone
270,13-08-2022,Aberdeen,2 - 3,Motherwell
271,20-08-2022,Motherwell,1 - 0,Livingston
272,27-08-2022,Kilmarnock,2 - 1,Motherwell
273,03-09-2022,Motherwell,0 - 0,Dundee United
274,18-09-2022,Motherwell,0 - 3,Hearts
275,01-10-2022,Celtic,2 - 1,Motherwell
276,04-10-2022,Ross County,0 - 5,Motherwell
277,08-10-2022,Hibernian,1 - 0,Motherwell
278,16-10-2022,Motherwell,1 - 2,Rangers
279,22-10-2022,Motherwell,1 - 2,Aberdeen
280,29-10-2022,Dundee United,0 - 1,Motherwell
281,06-11-2022,Hearts,3 - 2,Motherwell
282,09-11-2022,Motherwell,1 - 2,Celtic
283,12-11-2022,St Johnstone,1 - 1,Motherwell
284,23-12-2022,Motherwell,2 - 2,Kilmarnock
285,28-12-2022,Rangers,3 - 0,Motherwell
286,02-01-2023,Livingston,1 - 1,Motherwell
287,08-01-2023,Motherwell,2 - 3,Hibernian
288,14-01-2023,Motherwell,1 - 1,Ross County
289,28-01-2023,St Mirren,1 - 0,Motherwell
290,01-02-2023,Motherwell,0 - 2,St Johnstone
