,date,home_team,score,away_team
205,21-10-2022,Odense BK,3 - 1,Lyngby Boldklub
206,30-10-2022,Lyngby Boldklub,0 - 1,AGF Aarhus
207,06-11-2022,FC Copenhagen,3 - 0,Lyngby Boldklub
208,12-11-2022,Silkeborg IF,0 - 2,Lyngby Boldklub
209,19-02-2023,Lyngby Boldklub,1 - 1,FC Nordsjaelland
210,26-02-2023,Randers FC,1 - 0,Lyngby Boldklub
211,05-03-2023,Lyngby Boldklub,1 - 0,Brondby
212,12-03-2023,Midtjylland,1 - 3,Lyngby Boldklub
213,19-03-2023,Lyngby Boldklub,1 - 1,AC Horsens
214,02-04-2023,Lyngby Boldklub,1 - 1,Silkeborg IF
215,10-04-2023,Midtjylland,1 - 0,Lyngby Boldklub
216,16-04-2023,Lyngby Boldklub,2 - 1,AC Horsens
217,24-04-2023,Odense BK,2 - 2,Lyngby Boldklub
218,30-04-2023,AaB,1 - 0,Lyngby Boldklub
219,07-05-2023,Lyngby Boldklub,2 - 1,Midtjylland
220,14-05-2023,Silkeborg IF,1 - 0,Lyngby Boldklub
221,21-05-2023,Lyngby Boldklub,0 - 4,Odense BK
222,29-05-2023,Lyngby Boldklub,2 - 1,AaB
223,03-06-2023,AC Horsens,0 - 0,Lyngby Boldklub
224,15-07-2022,Midtjylland,1 - 1,Randers FC
225,22-07-2022,Midtjylland,1 - 3,Silkeborg IF
226,29-07-2022,Odense BK,1 - 5,Midtjylland
227,05-08-2022,Lyngby Boldklub,3 - 3,Midtjylland
228,12-08-2022,AC Horsens,3 - 3,Midtjylland
229,20-08-2022,Midtjylland,0 - 2,AGF Aarhus
230,29-08-2022,Brondby,0 - 2,Midtjylland
231,04-09-2022,Midtjylland,0 - 2,AaB
232,11-09-2022,FC Nordsjaelland,1 - 1,Midtjylland
233,18-09-2022,Midtjylland,2 - 1,FC Copenhagen
234,02-10-2022,Midtjylland,1 - 1,Viborg
235,09-10-2022,AGF Aarhus,0 - 1,Midtjylland
236,16-10-2022,Midtjylland,2 - 1,AC Horsens
237,22-10-2022,FC Copenhagen,1 - 1,Midtjylland
238,31-10-2022,Midtjylland,1 - 2,Odense BK
239,07-11-2022,Midtjylland,0 - 0,FC Nordsjaelland
240,13-11-2022,Randers FC,0 - 0,Midtjylland
241,20-02-2023,Viborg,0 - 4,Midtjylland
242,27-02-2023,Midtjylland,0 - 1,Brondby
243,06-03-2023,AaB,0 - 0,Midtjylland
244,12-03-2023,Midtjylland,1 - 3,Lyngby Boldklub
245,19-03-2023,Silkeborg IF,3 - 3,Midtjylland
246,31-03-2023,Odense BK,1 - 3,Midtjylland
247,10-04-2023,Midtjylland,1 - 0,Lyngby Boldklub
248,14-04-2023,Midtjylland,1 - 1,AaB
249,23-04-2023,AC Horsens,0 - 2,Midtjylland
250,01-05-2023,Midtjylland,3 - 0,Silkeborg IF
251,07-05-2023,Lyngby Boldklub,2 - 1,Midtjylland
252,14-05-2023,Midtjylland,3 - 1,AC Horsens
253,21-05-2023,AaB,0 - 2,Midtjylland
254,29-05-2023,Silkeborg IF,3 - 3,Midtjylland
255,03-06-2023,Midtjylland,4 - 2,Odense BK
256,09-06-2023,Viborg,0 - 1,Midtjylland
257,18-07-2022,Odense BK,0 - 2,FC Nordsjaelland
258,24-07-2022,Randers FC,2 - 2,Odense BK
259,29-07-2022,Odense BK,1 - 5,Midtjylland
260,07-08-2022,Odense BK,1 - 2,AGF Aarhus
261,14-08-2022,Brondby,2 - 0,Odense BK
262,22-08-2022,Odense BK,1 - 0,AC Horsens
263,28-08-2022,Silkeborg IF,1 - 2,Odense BK
264,04-09-2022,Odense BK,1 - 2,Viborg
265,10-09-2022,Odense BK,2 - 1,FC Copenhagen
266,18-09-2022,Lyngby Boldklub,0 - 2,Odense BK
267,30-09-2022,AaB,1 - 1,Odense BK
268,09-10-2022,Odense BK,1 - 1,Silkeborg IF
269,16-10-2022,Viborg,0 - 0,Odense BK
270,21-10-2022,Odense BK,3 - 1,Lyngby Boldklub
271,31-10-2022,Midtjylland,1 - 2,Odense BK
272,06-11-2022,Odense BK,1 - 1,Brondby
273,13-11-2022,AC Horsens,3 - 3,Odense BK
274,19-02-2023,Odense BK,0 - 0,Randers FC
275,24-02-2023,FC Nordsjaelland,4 - 2,Odense BK
276,05-03-2023,FC Copenhagen,7 - 0,Odense BK
277,10-03-2023,Odense BK,2 - 1,AaB
278,19-03-2023,AGF Aarhus,1 - 0,Odense BK
279,31-03-2023,Odense BK,1 - 3,Midtjylland
280,10-04-2023,AaB,2 - 3,Odense BK
281,16-04-2023,Odense BK,2 - 0,Silkeborg IF
282,24-04-2023,Odense BK,2 - 2,Lyngby Boldklub
283,28-04-2023,AC Horsens,2 - 2,Odense BK
284,07-05-2023,Silkeborg IF,0 - 1,Odense BK
285,12-05-2023,Odense BK,1 - 1,AaB
286,21-05-2023,Lyngby Boldklub,0 - 4,Odense BK
287,26-05-2023,Odense BK,2 - 1,AC Horsens
288,03-06-2023,Midtjylland,4 - 2,Odense BK
289,15-07-2022,Midtjylland,1 - 1,Randers FC
290,24-07-2022,Randers FC,2 - 2,Odense BK
291,31-07-2022,AGF Aarhus,0 - 0,Randers FC
292,05-08-2022,Randers FC,1 - 0,AC Horsens
293,12-08-2022,FC Copenhagen,1 - 3,Randers FC
294,21-08-2022,Randers FC,1 - 0,Viborg
295,28-08-2022,Randers FC,1 - 0,AaB
296,04-09-2022,Lyngby Boldklub,0 - 2,Randers FC
297,11-09-2022,Brondby,2 - 2,Randers FC
298,18-09-2022,Randers FC,3 - 2,Silkeborg IF
299,03-10-2022,FC Nordsjaelland,3 - 1,Randers FC
300,09-10-2022,Randers FC,2 - 3,Brondby
301,17-10-2022,Silkeborg IF,3 - 3,Randers FC
302,23-10-2022,Randers FC,0 - 2,FC Nordsjaelland
303,29-10-2022,Randers FC,0 - 2,FC Copenhagen
304,04-11-2022,AC Horsens,5 - 1,Randers FC
305,13-11-2022,Randers FC,0 - 0,Midtjylland
306,19-02-2023,Odense BK,0 - 0,Randers FC
307,26-02-2023,Randers FC,1 - 0,Lyngby Boldklub
308,05-03-2023,Viborg,2 - 2,Randers FC
309,13-03-2023,Randers FC,1 - 2,AGF Aarhus
310,19-03-2023,AaB,0 - 1,Randers FC
311,03-04-2023,AGF Aarhus,1 - 1,Randers FC
312,10-04-2023,Randers FC,1 - 0,FC Copenhagen
