,date,home_team,score,away_team
422,20-08-2022,Baník Ostrava,1 - 2,Teplice
423,27-08-2022,Teplice,0 - 0,Zlin
424,31-08-2022,Slavia Praha,6 - 0,Teplice
425,03-09-2022,Teplice,3 - 2,FK Jablonec
426,10-09-2022,Teplice,2 - 2,Sparta Praha
427,17-09-2022,Zbrojovka Brno,2 - 2,Teplice
428,02-10-2022,Teplice,5 - 1,Pardubice
429,08-10-2022,Hradec Králové,4 - 1,Teplice
430,15-10-2022,Teplice,0 - 2,České Budějovice
431,23-10-2022,Slovácko,2 - 1,Teplice
432,30-10-2022,Teplice,2 - 1,Sigma Olomouc
433,06-11-2022,Mlada Boleslav,3 - 0,Teplice
434,12-11-2022,Teplice,2 - 1,Slovan Liberec
435,28-01-2023,Bohemians 1905,2 - 0,Teplice
436,04-02-2023,Teplice,0 - 5,Baník Ostrava
437,11-02-2023,Zlin,2 - 1,Teplice
438,18-02-2023,Teplice,1 - 1,Slavia Praha
439,26-02-2023,FK Jablonec,4 - 1,Teplice
440,04-03-2023,Sparta Praha,4 - 1,Teplice
441,12-03-2023,Teplice,1 - 1,Zbrojovka Brno
442,19-03-2023,Pardubice,3 - 1,Teplice
443,02-04-2023,Teplice,1 - 0,Hradec Králové
444,09-04-2023,České Budějovice,0 - 3,Teplice
445,15-04-2023,Teplice,1 - 3,Slovácko
446,22-04-2023,Sigma Olomouc,1 - 2,Teplice
447,25-04-2023,Teplice,1 - 1,Mlada Boleslav
448,30-04-2023,Plzen,1 - 1,Teplice
449,06-05-2023,Teplice,1 - 0,Pardubice
450,14-05-2023,Teplice,2 - 1,Zlin
451,21-05-2023,Baník Ostrava,2 - 1,Teplice
452,24-05-2023,Teplice,1 - 1,Zbrojovka Brno
453,28-05-2023,FK Jablonec,0 - 2,Teplice
454,01-06-2023,Zlin,1 - 0,Vyškov
455,04-06-2023,Vyškov,0 - 0,Zlin
456,30-07-2022,Zbrojovka Brno,2 - 2,Slovácko
457,06-08-2022,Sigma Olomouc,0 - 2,Zbrojovka Brno
