,date,home_team,score,away_team
302,12-02-2023,Banfield,0 - 0,Gimnasia LP
303,17-02-2023,Gimnasia LP,2 - 0,Instituto Cordoba
304,27-02-2023,Barracas Central,1 - 0,Gimnasia LP
305,04-03-2023,Gimnasia LP,0 - 0,Colon
306,11-03-2023,San Lorenzo,4 - 0,Gimnasia LP
307,19-03-2023,Gimnasia LP,2 - 1,Estudiantes LP
308,31-03-2023,Rosario Central,3 - 1,Gimnasia LP
309,08-04-2023,Gimnasia LP,3 - 1,Racing Club
310,13-04-2023,River Plate,3 - 0,Gimnasia LP
311,16-04-2023,Gimnasia LP,0 - 2,Belgrano Cordoba
312,25-04-2023,Argentinos Jrs,2 - 4,Gimnasia LP
313,29-04-2023,Gimnasia LP,1 - 1,Tigre
314,08-05-2023,Arsenal de Sarandi,0 - 1,Gimnasia LP
315,15-05-2023,Gimnasia LP,1 - 0,Lanus
316,19-05-2023,Godoy Cruz,2 - 0,Gimnasia LP
317,27-05-2023,Gimnasia LP,0 - 0,Sarmiento Junin
318,04-06-2023,Union Santa Fe,2 - 0,Gimnasia LP
319,13-06-2023,Gimnasia LP,1 - 0,Huracan
320,22-06-2023,CA Central Córdoba de Santiago del Estero,0 - 0,Gimnasia LP
321,03-07-2023,Newells,2 - 2,Gimnasia LP
322,07-07-2023,Gimnasia LP,1 - 1,CA Independiente
323,12-07-2023,CA Tucuman,2 - 0,Gimnasia LP
324,16-07-2023,Gimnasia LP,? - ?,Boca Juniors
325,30-01-2023,Barracas Central,0 - 1,Godoy Cruz
326,06-02-2023,Godoy Cruz,1 - 0,Colon
327,11-02-2023,San Lorenzo,1 - 0,Godoy Cruz
328,18-02-2023,Godoy Cruz,0 - 1,Estudiantes LP
329,25-02-2023,Rosario Central,1 - 0,Godoy Cruz
330,06-03-2023,Godoy Cruz,2 - 0,Racing Club
331,12-03-2023,River Plate,3 - 0,Godoy Cruz
332,19-03-2023,Godoy Cruz,3 - 1,Belgrano Cordoba
333,31-03-2023,Argentinos Jrs,3 - 0,Godoy Cruz
334,09-04-2023,Godoy Cruz,1 - 1,Tigre
335,13-04-2023,Arsenal de Sarandi,2 - 3,Godoy Cruz
336,18-04-2023,Godoy Cruz,4 - 4,Lanus
337,22-04-2023,CA Central Córdoba de Santiago del Estero,0 - 2,Godoy Cruz
338,27-04-2023,Sarmiento Junin,1 - 1,Godoy Cruz
339,05-05-2023,Godoy Cruz,0 - 0,Union Santa Fe
340,12-05-2023,Huracan,0 - 0,Godoy Cruz
341,19-05-2023,Godoy Cruz,2 - 0,Gimnasia LP
342,29-05-2023,Newells,2 - 0,Godoy Cruz
343,04-06-2023,Godoy Cruz,2 - 1,CA Independiente
344,13-06-2023,CA Tucuman,2 - 1,Godoy Cruz
345,23-06-2023,Godoy Cruz,4 - 0,Boca Juniors
346,02-07-2023,Talleres Cord.,1 - 1,Godoy Cruz
347,05-07-2023,Godoy Cruz,2 - 1,Platense
348,09-07-2023,Velez Sarsfield,1 - 1,Godoy Cruz
349,14-07-2023,Godoy Cruz,? - ?,Defensa y Justicia
350,28-01-2023,Defensa y Justicia,2 - 4,Huracan
351,07-02-2023,Huracan,3 - 2,Banfield
352,13-02-2023,Instituto Cordoba,0 - 0,Huracan
353,18-02-2023,Huracan,2 - 0,Barracas Central
354,26-02-2023,Colon,1 - 1,Huracan
355,05-03-2023,Huracan,1 - 1,San Lorenzo
356,12-03-2023,Estudiantes LP,2 - 1,Huracan
357,21-03-2023,Huracan,0 - 2,Rosario Central
358,02-04-2023,Racing Club,2 - 1,Huracan
359,09-04-2023,Huracan,0 - 3,River Plate
360,12-04-2023,Belgrano Cordoba,2 - 0,Huracan
361,16-04-2023,Huracan,0 - 0,Argentinos Jrs
362,25-04-2023,Tigre,1 - 0,Huracan
363,28-04-2023,Huracan,2 - 1,Arsenal de Sarandi
364,06-05-2023,Lanus,1 - 0,Huracan
365,12-05-2023,Huracan,0 - 0,Godoy Cruz
366,21-05-2023,Sarmiento Junin,0 - 0,Huracan
367,29-05-2023,Huracan,0 - 1,Union Santa Fe
368,03-06-2023,CA Central Córdoba de Santiago del Estero,2 - 0,Huracan
369,13-06-2023,Gimnasia LP,1 - 0,Huracan
370,23-06-2023,Huracan,1 - 1,Newells
371,02-07-2023,CA Independiente,1 - 0,Huracan
372,07-07-2023,Huracan,0 - 1,CA Tucuman
373,10-07-2023,Boca Juniors,1 - 0,Huracan
374,15-07-2023,Huracan,? - ?,Talleres Cord.
375,28-01-2023,Instituto Cordoba,0 - 0,Sarmiento Junin
376,06-02-2023,Union Santa Fe,0 - 2,Instituto Cordoba
377,13-02-2023,Instituto Cordoba,0 - 0,Huracan
378,17-02-2023,Gimnasia LP,2 - 0,Instituto Cordoba
379,27-02-2023,Instituto Cordoba,3 - 1,Newells
380,05-03-2023,CA Independiente,2 - 2,Instituto Cordoba
381,11-03-2023,Instituto Cordoba,1 - 1,CA Tucuman
382,19-03-2023,Boca Juniors,2 - 3,Instituto Cordoba
383,02-04-2023,Instituto Cordoba,0 - 3,Talleres Cord.
384,07-04-2023,Platense,1 - 0,Instituto Cordoba
385,12-04-2023,Instituto Cordoba,1 - 0,Velez Sarsfield
386,15-04-2023,Defensa y Justicia,1 - 0,Instituto Cordoba
387,23-04-2023,Instituto Cordoba,1 - 1,Banfield
388,29-04-2023,Instituto Cordoba,0 - 2,CA Central Córdoba de Santiago del Estero
389,05-05-2023,Barracas Central,3 - 0,Instituto Cordoba
390,13-05-2023,Instituto Cordoba,1 - 0,Colon
391,20-05-2023,San Lorenzo,2 - 0,Instituto Cordoba
392,29-05-2023,Instituto Cordoba,0 - 0,Estudiantes LP
393,03-06-2023,Rosario Central,4 - 1,Instituto Cordoba
394,13-06-2023,Instituto Cordoba,1 - 1,Racing Club
395,22-06-2023,River Plate,3 - 1,Instituto Cordoba
396,02-07-2023,Instituto Cordoba,1 - 0,Belgrano Cordoba
397,06-07-2023,Argentinos Jrs,0 - 0,Instituto Cordoba
398,09-07-2023,Instituto Cordoba,0 - 1,Tigre
399,17-07-2023,Arsenal de Sarandi,? - ?,Instituto Cordoba
400,28-01-2023,Colon,1 - 2,Lanus
401,05-02-2023,Lanus,2 - 1,San Lorenzo
402,13-02-2023,Estudiantes LP,0 - 2,Lanus
403,18-02-2023,Lanus,3 - 0,Rosario Central
404,27-02-2023,Racing Club,2 - 1,Lanus
405,04-03-2023,Lanus,0 - 2,River Plate
406,12-03-2023,Belgrano Cordoba,0 - 0,Lanus
407,21-03-2023,Lanus,0 - 0,Argentinos Jrs
408,02-04-2023,Tigre,2 - 1,Lanus
409,07-04-2023,Lanus,3 - 0,Arsenal de Sarandi
410,12-04-2023,CA Central Córdoba de Santiago del Estero,1 - 1,Lanus
411,18-04-2023,Godoy Cruz,4 - 4,Lanus
412,22-04-2023,Lanus,2 - 1,Sarmiento Junin
413,06-05-2023,Lanus,1 - 0,Huracan
414,15-05-2023,Gimnasia LP,1 - 0,Lanus
