,date,home_team,score,away_team
245,20-01-2023,Mallorca,1 - 0,Celta
246,29-01-2023,Celta,1 - 0,Ath Bilbao
247,04-02-2023,Betis,3 - 4,Celta
248,12-02-2023,Celta,0 - 1,Ath Madrid
249,18-02-2023,Sociedad,1 - 1,Celta
250,26-02-2023,Celta,3 - 0,Valladolid
251,06-03-2023,Osasuna,0 - 0,Celta
252,11-03-2023,Celta,3 - 0,Vallecano
253,18-03-2023,Espanol,1 - 3,Celta
254,02-04-2023,Celta,2 - 2,Almeria
255,07-04-2023,Sevilla,2 - 2,Celta
256,17-04-2023,Celta,0 - 1,Mallorca
257,22-04-2023,Real Madrid,2 - 0,Celta
258,26-04-2023,Celta,1 - 0,Elche
259,30-04-2023,Villarreal,3 - 1,Celta
260,03-05-2023,Getafe,1 - 0,Celta
261,14-05-2023,Celta,1 - 2,Valencia
262,20-05-2023,Ath Bilbao,2 - 1,Celta
263,23-05-2023,Celta,1 - 1,Girona
264,28-05-2023,Cadiz,1 - 0,Celta
265,04-06-2023,Celta,2 - 1,Barcelona
266,15-08-2022,Betis,3 - 0,Elche
267,22-08-2022,Elche,1 - 1,Almeria
268,27-08-2022,Elche,0 - 1,Sociedad
269,04-09-2022,Villarreal,4 - 0,Elche
270,11-09-2022,Elche,1 - 4,Ath Bilbao
271,17-09-2022,Barcelona,3 - 0,Elche
272,03-10-2022,Vallecano,2 - 1,Elche
273,10-10-2022,Elche,1 - 1,Mallorca
274,15-10-2022,Valencia,2 - 2,Elche
275,19-10-2022,Elche,0 - 3,Real Madrid
276,23-10-2022,Espanol,2 - 2,Elche
277,31-10-2022,Elche,0 - 1,Getafe
278,05-11-2022,Valladolid,2 - 1,Elche
279,08-11-2022,Elche,1 - 2,Girona
280,29-12-2022,Ath Madrid,2 - 0,Elche
281,06-01-2023,Elche,0 - 1,Celta
282,16-01-2023,Cadiz,1 - 1,Elche
283,22-01-2023,Elche,1 - 1,Osasuna
284,28-01-2023,Sevilla,3 - 0,Elche
285,04-02-2023,Elche,3 - 1,Villarreal
286,15-02-2023,Real Madrid,4 - 0,Elche
287,19-02-2023,Elche,0 - 1,Espanol
288,24-02-2023,Elche,2 - 3,Betis
289,04-03-2023,Mallorca,0 - 1,Elche
290,11-03-2023,Elche,1 - 1,Valladolid
291,19-03-2023,Sociedad,2 - 0,Elche
292,01-04-2023,Elche,0 - 4,Barcelona
293,08-04-2023,Osasuna,2 - 1,Elche
294,16-04-2023,Girona,2 - 0,Elche
295,23-04-2023,Elche,0 - 2,Valencia
296,26-04-2023,Celta,1 - 0,Elche
297,29-04-2023,Elche,4 - 0,Vallecano
298,02-05-2023,Almeria,2 - 1,Elche
299,14-05-2023,Elche,1 - 0,Ath Madrid
300,20-05-2023,Getafe,1 - 1,Elche
301,24-05-2023,Elche,1 - 1,Sevilla
302,28-05-2023,Ath Bilbao,0 - 1,Elche
303,04-06-2023,Elche,1 - 1,Cadiz
304,13-08-2022,Celta,2 - 2,Espanol
305,19-08-2022,Espanol,0 - 2,Vallecano
306,28-08-2022,Espanol,1 - 3,Real Madrid
307,04-09-2022,Ath Bilbao,0 - 1,Espanol
308,10-09-2022,Espanol,2 - 3,Sevilla
309,18-09-2022,Sociedad,2 - 1,Espanol
310,02-10-2022,Espanol,2 - 2,Valencia
311,09-10-2022,Cadiz,2 - 2,Espanol
312,16-10-2022,Espanol,1 - 0,Valladolid
313,20-10-2022,Osasuna,1 - 0,Espanol
314,23-10-2022,Espanol,2 - 2,Elche
315,28-10-2022,Mallorca,1 - 1,Espanol
316,06-11-2022,Ath Madrid,1 - 1,Espanol
317,09-11-2022,Espanol,0 - 1,Villarreal
318,31-12-2022,Barcelona,1 - 1,Espanol
319,07-01-2023,Espanol,2 - 2,Girona
320,15-01-2023,Getafe,1 - 2,Espanol
321,21-01-2023,Espanol,1 - 0,Betis
322,27-01-2023,Almeria,3 - 1,Espanol
323,04-02-2023,Espanol,1 - 1,Osasuna
324,13-02-2023,Espanol,2 - 3,Sociedad
325,19-02-2023,Elche,0 - 1,Espanol
326,25-02-2023,Espanol,2 - 1,Mallorca
327,05-03-2023,Valladolid,2 - 1,Espanol
328,11-03-2023,Real Madrid,3 - 1,Espanol
329,18-03-2023,Espanol,1 - 3,Celta
330,01-04-2023,Girona,2 - 1,Espanol
331,08-04-2023,Espanol,1 - 2,Ath Bilbao
332,15-04-2023,Betis,3 - 1,Espanol
333,21-04-2023,Espanol,0 - 0,Cadiz
334,27-04-2023,Villarreal,4 - 2,Espanol
335,30-04-2023,Espanol,1 - 0,Getafe
336,04-05-2023,Sevilla,3 - 2,Espanol
337,14-05-2023,Espanol,2 - 4,Barcelona
338,21-05-2023,Vallecano,1 - 2,Espanol
339,24-05-2023,Espanol,3 - 3,Ath Madrid
340,28-05-2023,Valencia,2 - 2,Espanol
341,04-06-2023,Espanol,3 - 3,Almeria
342,15-08-2022,Getafe,0 - 3,Ath Madrid
343,22-08-2022,Girona,3 - 1,Getafe
344,28-08-2022,Getafe,0 - 0,Villarreal
345,04-09-2022,Valencia,5 - 1,Getafe
346,11-09-2022,Getafe,2 - 1,Sociedad
347,18-09-2022,Osasuna,0 - 2,Getafe
348,01-10-2022,Getafe,2 - 3,Valladolid
349,08-10-2022,Getafe,0 - 1,Real Madrid
350,14-10-2022,Vallecano,0 - 0,Getafe
351,18-10-2022,Getafe,2 - 2,Ath Bilbao
352,24-10-2022,Celta,1 - 1,Getafe
353,31-10-2022,Elche,0 - 1,Getafe
354,05-11-2022,Getafe,0 - 0,Cadiz
355,09-11-2022,Almeria,1 - 0,Getafe
356,30-12-2022,Getafe,2 - 0,Mallorca
357,08-01-2023,Sevilla,2 - 1,Getafe
358,15-01-2023,Getafe,1 - 2,Espanol
359,22-01-2023,Barcelona,1 - 0,Getafe
360,28-01-2023,Getafe,0 - 1,Betis
361,04-02-2023,Ath Madrid,1 - 1,Getafe
362,12-02-2023,Getafe,1 - 1,Vallecano
363,20-02-2023,Getafe,1 - 0,Valencia
364,27-02-2023,Villarreal,2 - 1,Getafe
365,04-03-2023,Getafe,3 - 2,Girona
366,10-03-2023,Cadiz,2 - 2,Getafe
367,19-03-2023,Getafe,2 - 0,Sevilla
368,01-04-2023,Ath Bilbao,0 - 0,Getafe
369,08-04-2023,Sociedad,2 - 0,Getafe
370,16-04-2023,Getafe,0 - 0,Barcelona
371,23-04-2023,Mallorca,3 - 1,Getafe
372,26-04-2023,Getafe,1 - 2,Almeria
373,30-04-2023,Espanol,1 - 0,Getafe
374,03-05-2023,Getafe,1 - 0,Celta
375,13-05-2023,Real Madrid,1 - 0,Getafe
376,20-05-2023,Getafe,1 - 1,Elche
377,24-05-2023,Betis,0 - 1,Getafe
378,28-05-2023,Getafe,2 - 1,Osasuna
379,04-06-2023,Valladolid,0 - 0,Getafe
380,14-08-2022,Valencia,1 - 0,Girona
381,22-08-2022,Girona,3 - 1,Getafe
382,26-08-2022,Girona,0 - 1,Celta
383,03-09-2022,Mallorca,1 - 1,Girona
384,09-09-2022,Girona,2 - 1,Valladolid
385,18-09-2022,Betis,2 - 1,Girona
386,02-10-2022,Girona,3 - 5,Sociedad
387,08-10-2022,Ath Madrid,2 - 1,Girona
388,15-10-2022,Girona,1 - 1,Cadiz
389,20-10-2022,Almeria,3 - 2,Girona
390,23-10-2022,Girona,1 - 1,Osasuna
391,30-10-2022,Real Madrid,1 - 1,Girona
392,04-11-2022,Girona,2 - 1,Ath Bilbao
393,08-11-2022,Elche,1 - 2,Girona
394,29-12-2022,Girona,2 - 2,Vallecano
395,07-01-2023,Espanol,2 - 2,Girona
396,14-01-2023,Girona,2 - 1,Sevilla
397,22-01-2023,Villarreal,1 - 0,Girona
398,28-01-2023,Girona,0 - 1,Barcelona
399,05-02-2023,Girona,1 - 0,Valencia
400,10-02-2023,Cadiz,2 - 0,Girona
401,17-02-2023,Girona,6 - 2,Almeria
402,26-02-2023,Ath Bilbao,2 - 3,Girona
403,04-03-2023,Getafe,3 - 2,Girona
404,13-03-2023,Girona,0 - 1,Ath Madrid
405,18-03-2023,Vallecano,2 - 2,Girona
406,01-04-2023,Girona,2 - 1,Espanol
407,10-04-2023,Barcelona,0 - 0,Girona
408,16-04-2023,Girona,2 - 0,Elche
409,22-04-2023,Valladolid,1 - 0,Girona
410,25-04-2023,Girona,4 - 2,Real Madrid
411,01-05-2023,Sevilla,0 - 2,Girona
412,04-05-2023,Girona,2 - 1,Mallorca
413,13-05-2023,Sociedad,2 - 2,Girona
414,20-05-2023,Girona,1 - 2,Villarreal
415,23-05-2023,Celta,1 - 1,Girona
416,28-05-2023,Girona,1 - 2,Betis
417,04-06-2023,Osasuna,2 - 1,Girona
418,15-08-2022,Ath Bilbao,0 - 0,Mallorca
419,20-08-2022,Mallorca,1 - 2,Betis
420,27-08-2022,Vallecano,0 - 2,Mallorca
421,03-09-2022,Mallorca,1 - 1,Girona
422,11-09-2022,Real Madrid,4 - 1,Mallorca
423,17-09-2022,Mallorca,1 - 0,Almeria
424,01-10-2022,Mallorca,0 - 1,Barcelona
425,10-10-2022,Elche,1 - 1,Mallorca
426,15-10-2022,Mallorca,0 - 1,Sevilla
427,19-10-2022,Sociedad,1 - 0,Mallorca
428,22-10-2022,Valencia,1 - 2,Mallorca
429,28-10-2022,Mallorca,1 - 1,Espanol
430,06-11-2022,Villarreal,0 - 2,Mallorca
431,09-11-2022,Mallorca,1 - 0,Ath Madrid
432,30-12-2022,Getafe,2 - 0,Mallorca
433,07-01-2023,Mallorca,1 - 0,Valladolid
434,14-01-2023,Osasuna,1 - 0,Mallorca
435,20-01-2023,Mallorca,1 - 0,Celta
436,28-01-2023,Cadiz,2 - 0,Mallorca
437,05-02-2023,Mallorca,1 - 0,Real Madrid
438,11-02-2023,Sevilla,2 - 0,Mallorca
439,18-02-2023,Mallorca,4 - 2,Villarreal
440,25-02-2023,Espanol,2 - 1,Mallorca
441,04-03-2023,Mallorca,0 - 1,Elche
442,12-03-2023,Mallorca,1 - 1,Sociedad
443,19-03-2023,Betis,1 - 0,Mallorca
444,31-03-2023,Mallorca,0 - 0,Osasuna
445,09-04-2023,Valladolid,3 - 3,Mallorca
446,17-04-2023,Celta,0 - 1,Mallorca
447,23-04-2023,Mallorca,3 - 1,Getafe
448,26-04-2023,Ath Madrid,3 - 1,Mallorca
449,01-05-2023,Mallorca,1 - 1,Ath Bilbao
450,04-05-2023,Girona,2 - 1,Mallorca
451,12-05-2023,Mallorca,1 - 0,Cadiz
452,20-05-2023,Almeria,3 - 0,Mallorca
453,25-05-2023,Mallorca,1 - 0,Valencia
454,28-05-2023,Barcelona,3 - 0,Mallorca
455,04-06-2023,Mallorca,3 - 0,Vallecano
456,12-08-2022,Osasuna,2 - 1,Sevilla
457,20-08-2022,Osasuna,2 - 0,Cadiz
458,26-08-2022,Betis,1 - 0,Osasuna
459,04-09-2022,Osasuna,2 - 1,Vallecano
460,12-09-2022,Almeria,0 - 1,Osasuna
461,18-09-2022,Osasuna,0 - 2,Getafe
462,02-10-2022,Real Madrid,1 - 1,Osasuna
463,07-10-2022,Osasuna,1 - 2,Valencia
464,17-10-2022,Villarreal,2 - 0,Osasuna
465,20-10-2022,Osasuna,1 - 0,Espanol
466,23-10-2022,Girona,1 - 1,Osasuna
467,30-10-2022,Osasuna,2 - 0,Valladolid
468,05-11-2022,Celta,1 - 2,Osasuna
469,08-11-2022,Osasuna,1 - 2,Barcelona
470,31-12-2022,Sociedad,2 - 0,Osasuna
471,09-01-2023,Ath Bilbao,0 - 0,Osasuna
472,14-01-2023,Osasuna,1 - 0,Mallorca
473,22-01-2023,Elche,1 - 1,Osasuna
474,29-01-2023,Osasuna,0 - 1,Ath Madrid
475,04-02-2023,Espanol,1 - 1,Osasuna
476,12-02-2023,Valladolid,0 - 0,Osasuna
477,18-02-2023,Osasuna,0 - 2,Real Madrid
478,26-02-2023,Sevilla,2 - 3,Osasuna
479,06-03-2023,Osasuna,0 - 0,Celta
480,11-03-2023,Valencia,1 - 0,Osasuna
481,19-03-2023,Osasuna,0 - 3,Villarreal
482,31-03-2023,Mallorca,0 - 0,Osasuna
483,08-04-2023,Osasuna,2 - 1,Elche
484,14-04-2023,Vallecano,2 - 1,Osasuna
485,22-04-2023,Osasuna,3 - 2,Betis
486,25-04-2023,Cadiz,0 - 1,Osasuna
487,28-04-2023,Osasuna,0 - 2,Sociedad
488,02-05-2023,Barcelona,1 - 0,Osasuna
489,13-05-2023,Osasuna,3 - 1,Almeria
490,21-05-2023,Ath Madrid,3 - 0,Osasuna
491,25-05-2023,Osasuna,2 - 0,Ath Bilbao
492,28-05-2023,Getafe,2 - 1,Osasuna
493,04-06-2023,Osasuna,2 - 1,Girona
494,14-08-2022,Almeria,1 - 2,Real Madrid
495,20-08-2022,Celta,1 - 4,Real Madrid
496,28-08-2022,Espanol,1 - 3,Real Madrid
497,03-09-2022,Real Madrid,2 - 1,Betis
498,11-09-2022,Real Madrid,4 - 1,Mallorca
499,18-09-2022,Ath Madrid,1 - 2,Real Madrid
500,02-10-2022,Real Madrid,1 - 1,Osasuna
501,08-10-2022,Getafe,0 - 1,Real Madrid
502,16-10-2022,Real Madrid,3 - 1,Barcelona
503,19-10-2022,Elche,0 - 3,Real Madrid
504,22-10-2022,Real Madrid,3 - 1,Sevilla
505,30-10-2022,Real Madrid,1 - 1,Girona
506,07-11-2022,Vallecano,3 - 2,Real Madrid
507,10-11-2022,Real Madrid,2 - 1,Cadiz
508,30-12-2022,Valladolid,0 - 2,Real Madrid
509,07-01-2023,Villarreal,2 - 1,Real Madrid
510,22-01-2023,Ath Bilbao,0 - 2,Real Madrid
511,29-01-2023,Real Madrid,0 - 0,Sociedad
512,02-02-2023,Real Madrid,2 - 0,Valencia
513,05-02-2023,Mallorca,1 - 0,Real Madrid
514,15-02-2023,Real Madrid,4 - 0,Elche
515,18-02-2023,Osasuna,0 - 2,Real Madrid
516,25-02-2023,Real Madrid,1 - 1,Ath Madrid
517,05-03-2023,Betis,0 - 0,Real Madrid
518,11-03-2023,Real Madrid,3 - 1,Espanol
519,19-03-2023,Barcelona,2 - 1,Real Madrid
520,02-04-2023,Real Madrid,6 - 0,Valladolid
521,08-04-2023,Real Madrid,2 - 3,Villarreal
522,15-04-2023,Cadiz,0 - 2,Real Madrid
523,22-04-2023,Real Madrid,2 - 0,Celta
524,25-04-2023,Girona,4 - 2,Real Madrid
525,29-04-2023,Real Madrid,4 - 2,Almeria
526,02-05-2023,Sociedad,2 - 0,Real Madrid
527,13-05-2023,Real Madrid,1 - 0,Getafe
528,21-05-2023,Valencia,1 - 0,Real Madrid
