,date,home_team,score,away_team
208,10-04-2023,Young Boys,2 - 0,Grasshoppers
209,16-04-2023,Grasshoppers,1 - 3,FC Sion
210,22-04-2023,FC Winterthur,1 - 2,Grasshoppers
211,25-04-2023,Grasshoppers,4 - 1,Young Boys
212,29-04-2023,FC Lugano,5 - 1,Grasshoppers
213,07-05-2023,Grasshoppers,2 - 3,Servette FC
214,13-05-2023,Grasshoppers,2 - 0,Lucerne
215,21-05-2023,FC Zurich,2 - 1,Grasshoppers
216,25-05-2023,Grasshoppers,2 - 2,St Gallen
217,29-05-2023,Basel,3 - 1,Grasshoppers
218,23-07-2022,FC Zurich,0 - 0,Lucerne
219,07-08-2022,FC Lugano,1 - 2,Lucerne
220,10-08-2022,Lucerne,1 - 1,Grasshoppers
221,13-08-2022,St Gallen,4 - 1,Lucerne
222,27-08-2022,Lucerne,2 - 0,FC Sion
223,04-09-2022,Lucerne,0 - 2,Servette FC
224,10-09-2022,FC Winterthur,0 - 6,Lucerne
225,02-10-2022,Lucerne,1 - 2,Young Boys
226,09-10-2022,Servette FC,1 - 1,Lucerne
227,15-10-2022,FC Sion,2 - 0,Lucerne
228,19-10-2022,Lucerne,3 - 3,St Gallen
229,22-10-2022,Lucerne,3 - 1,FC Lugano
230,29-10-2022,Grasshoppers,1 - 3,Lucerne
231,05-11-2022,Lucerne,1 - 1,FC Winterthur
232,09-11-2022,Lucerne,0 - 2,Basel
233,13-11-2022,Young Boys,3 - 0,Lucerne
234,21-01-2023,Lucerne,2 - 2,FC Zurich
235,28-01-2023,Basel,2 - 3,Lucerne
236,05-02-2023,Lucerne,1 - 1,Young Boys
237,12-02-2023,FC Lugano,1 - 1,Lucerne
238,19-02-2023,St Gallen,2 - 2,Lucerne
239,26-02-2023,Lucerne,1 - 0,Grasshoppers
240,04-03-2023,Lucerne,0 - 1,Basel
241,12-03-2023,Servette FC,0 - 1,Lucerne
242,18-03-2023,FC Zurich,2 - 1,Lucerne
243,02-04-2023,Lucerne,1 - 2,FC Sion
244,10-04-2023,FC Winterthur,1 - 2,Lucerne
245,15-04-2023,Lucerne,4 - 1,FC Zurich
246,23-04-2023,Basel,0 - 2,Lucerne
247,27-04-2023,Lucerne,3 - 1,FC Winterthur
248,30-04-2023,Young Boys,5 - 1,Lucerne
249,07-05-2023,Lucerne,2 - 2,FC Lugano
250,13-05-2023,Grasshoppers,2 - 0,Lucerne
251,20-05-2023,Lucerne,1 - 1,St Gallen
252,25-05-2023,FC Sion,1 - 2,Lucerne
253,29-05-2023,Lucerne,0 - 1,Servette FC
254,17-07-2022,Servette FC,1 - 0,St Gallen
255,24-07-2022,Basel,1 - 1,Servette FC
256,30-07-2022,FC Sion,0 - 0,Servette FC
257,06-08-2022,Servette FC,1 - 0,FC Winterthur
258,14-08-2022,Young Boys,3 - 0,Servette FC
259,27-08-2022,Servette FC,3 - 1,Grasshoppers
260,04-09-2022,Lucerne,0 - 2,Servette FC
261,11-09-2022,Servette FC,3 - 2,FC Zurich
262,02-10-2022,FC Lugano,1 - 0,Servette FC
263,09-10-2022,Servette FC,1 - 1,Lucerne
264,16-10-2022,Servette FC,0 - 0,Basel
265,20-10-2022,Grasshoppers,2 - 3,Servette FC
266,23-10-2022,St Gallen,1 - 1,Servette FC
267,29-10-2022,Servette FC,2 - 2,FC Lugano
268,06-11-2022,Servette FC,0 - 0,Young Boys
269,13-11-2022,FC Zurich,4 - 1,Servette FC
270,29-01-2023,Servette FC,2 - 2,FC Sion
271,04-02-2023,St Gallen,3 - 0,Servette FC
272,11-02-2023,Servette FC,2 - 1,Grasshoppers
273,15-02-2023,FC Winterthur,1 - 2,Servette FC
274,19-02-2023,Basel,2 - 2,Servette FC
275,26-02-2023,Servette FC,1 - 1,FC Winterthur
276,05-03-2023,FC Zurich,1 - 1,Servette FC
277,12-03-2023,Servette FC,0 - 1,Lucerne
278,19-03-2023,FC Lugano,1 - 1,Servette FC
279,01-04-2023,Servette FC,2 - 1,Young Boys
280,08-04-2023,FC Sion,2 - 2,Servette FC
281,15-04-2023,Servette FC,0 - 0,FC Lugano
282,22-04-2023,Young Boys,6 - 1,Servette FC
283,26-04-2023,Servette FC,4 - 0,FC Zurich
284,29-04-2023,Servette FC,1 - 1,St Gallen
285,07-05-2023,Grasshoppers,2 - 3,Servette FC
286,13-05-2023,Servette FC,5 - 0,FC Sion
287,20-05-2023,FC Winterthur,0 - 1,Servette FC
288,25-05-2023,Servette FC,3 - 3,Basel
289,29-05-2023,Lucerne,0 - 1,Servette FC
290,17-07-2022,Servette FC,1 - 0,St Gallen
291,23-07-2022,St Gallen,2 - 0,FC Winterthur
292,30-07-2022,St Gallen,2 - 0,FC Zurich
293,06-08-2022,Grasshoppers,3 - 2,St Gallen
294,13-08-2022,St Gallen,4 - 1,Lucerne
295,28-08-2022,FC Lugano,2 - 3,St Gallen
296,04-09-2022,St Gallen,2 - 1,Young Boys
297,10-09-2022,St Gallen,1 - 2,FC Sion
298,01-10-2022,Basel,3 - 2,St Gallen
299,08-10-2022,Young Boys,2 - 1,St Gallen
300,16-10-2022,St Gallen,1 - 1,FC Lugano
301,19-10-2022,Lucerne,3 - 3,St Gallen
302,23-10-2022,St Gallen,1 - 1,Servette FC
303,30-10-2022,FC Winterthur,1 - 0,St Gallen
304,05-11-2022,St Gallen,2 - 1,Grasshoppers
305,12-11-2022,FC Sion,2 - 7,St Gallen
306,22-01-2023,St Gallen,1 - 1,Basel
307,29-01-2023,FC Zurich,1 - 0,St Gallen
308,04-02-2023,St Gallen,3 - 0,Servette FC
309,12-02-2023,Young Boys,5 - 1,St Gallen
310,19-02-2023,St Gallen,2 - 2,Lucerne
311,25-02-2023,FC Sion,0 - 4,St Gallen
312,05-03-2023,St Gallen,1 - 1,Grasshoppers
313,12-03-2023,Basel,1 - 1,St Gallen
314,19-03-2023,FC Winterthur,1 - 0,St Gallen
315,02-04-2023,St Gallen,2 - 2,FC Zurich
316,10-04-2023,FC Lugano,1 - 1,St Gallen
317,16-04-2023,St Gallen,2 - 3,FC Winterthur
318,23-04-2023,FC Zurich,1 - 0,St Gallen
319,26-04-2023,St Gallen,1 - 2,FC Lugano
320,29-04-2023,Servette FC,1 - 1,St Gallen
321,06-05-2023,St Gallen,0 - 2,Young Boys
322,14-05-2023,St Gallen,6 - 1,Basel
323,20-05-2023,Lucerne,1 - 1,St Gallen
324,25-05-2023,Grasshoppers,2 - 2,St Gallen
325,29-05-2023,St Gallen,4 - 0,FC Sion
326,03-06-2023,FC Sion,0 - 2,Stade Lausanne-Ouchy
327,06-06-2023,Stade Lausanne-Ouchy,4 - 2,FC Sion
328,16-07-2022,Young Boys,4 - 0,FC Zurich
329,24-07-2022,FC Sion,0 - 3,Young Boys
330,31-07-2022,Young Boys,1 - 1,Grasshoppers
331,07-08-2022,Basel,0 - 0,Young Boys
332,14-08-2022,Young Boys,3 - 0,Servette FC
333,28-08-2022,FC Winterthur,1 - 5,Young Boys
334,04-09-2022,St Gallen,2 - 1,Young Boys
335,11-09-2022,Young Boys,3 - 0,FC Lugano
336,02-10-2022,Lucerne,1 - 2,Young Boys
337,08-10-2022,Young Boys,2 - 1,St Gallen
338,16-10-2022,FC Zurich,0 - 0,Young Boys
339,19-10-2022,FC Lugano,1 - 4,Young Boys
340,22-10-2022,Young Boys,1 - 1,FC Sion
341,30-10-2022,Young Boys,3 - 1,Basel
342,06-11-2022,Servette FC,0 - 0,Young Boys
343,13-11-2022,Young Boys,3 - 0,Lucerne
344,21-01-2023,Grasshoppers,1 - 2,Young Boys
345,29-01-2023,Young Boys,5 - 1,FC Winterthur
346,05-02-2023,Lucerne,1 - 1,Young Boys
347,12-02-2023,Young Boys,5 - 1,St Gallen
348,18-02-2023,Young Boys,1 - 1,FC Lugano
349,25-02-2023,FC Zurich,2 - 2,Young Boys
350,04-03-2023,FC Winterthur,1 - 1,Young Boys
351,11-03-2023,Young Boys,4 - 0,FC Sion
352,19-03-2023,Young Boys,3 - 0,Basel
353,01-04-2023,Servette FC,2 - 1,Young Boys
354,10-04-2023,Young Boys,2 - 0,Grasshoppers
355,16-04-2023,Basel,1 - 1,Young Boys
356,22-04-2023,Young Boys,6 - 1,Servette FC
357,25-04-2023,Grasshoppers,4 - 1,Young Boys
358,30-04-2023,Young Boys,5 - 1,Lucerne
359,06-05-2023,St Gallen,0 - 2,Young Boys
360,14-05-2023,Young Boys,1 - 1,FC Zurich
361,21-05-2023,FC Sion,0 - 2,Young Boys
362,25-05-2023,FC Lugano,2 - 0,Young Boys
363,29-05-2023,Young Boys,2 - 1,FC Winterthur
