,date,home_team,score,away_team
222,02-05-2023,Arsenal,3 - 1,Chelsea
223,06-05-2023,Bournemouth,1 - 3,Chelsea
224,13-05-2023,Chelsea,2 - 2,Nott'm Forest
225,21-05-2023,Man City,1 - 0,Chelsea
226,25-05-2023,Man United,4 - 1,Chelsea
227,28-05-2023,Chelsea,1 - 1,Newcastle
228,05-08-2022,Crystal Palace,0 - 2,Arsenal
229,15-08-2022,Liverpool,1 - 1,Crystal Palace
230,20-08-2022,Crystal Palace,3 - 1,Aston Villa
231,27-08-2022,Man City,4 - 2,Crystal Palace
232,30-08-2022,Crystal Palace,1 - 1,Brentford
233,03-09-2022,Newcastle,0 - 0,Crystal Palace
234,01-10-2022,Crystal Palace,1 - 2,Chelsea
235,09-10-2022,Crystal Palace,2 - 1,Leeds
236,15-10-2022,Leicester,0 - 0,Crystal Palace
237,18-10-2022,Crystal Palace,2 - 1,Wolves
238,22-10-2022,Everton,3 - 0,Crystal Palace
239,29-10-2022,Crystal Palace,1 - 0,Southampton
240,06-11-2022,West Ham,1 - 2,Crystal Palace
241,12-11-2022,Nott'm Forest,1 - 0,Crystal Palace
242,26-12-2022,Crystal Palace,0 - 3,Fulham
243,31-12-2022,Bournemouth,0 - 2,Crystal Palace
244,04-01-2023,Crystal Palace,0 - 4,Tottenham
245,15-01-2023,Chelsea,1 - 0,Crystal Palace
246,18-01-2023,Crystal Palace,1 - 1,Man United
247,21-01-2023,Crystal Palace,0 - 0,Newcastle
248,04-02-2023,Man United,2 - 1,Crystal Palace
249,11-02-2023,Crystal Palace,1 - 1,Brighton
250,18-02-2023,Brentford,1 - 1,Crystal Palace
251,25-02-2023,Crystal Palace,0 - 0,Liverpool
252,04-03-2023,Aston Villa,1 - 0,Crystal Palace
253,11-03-2023,Crystal Palace,0 - 1,Man City
254,15-03-2023,Brighton,1 - 0,Crystal Palace
255,19-03-2023,Arsenal,4 - 1,Crystal Palace
256,01-04-2023,Crystal Palace,2 - 1,Leicester
257,09-04-2023,Leeds,1 - 5,Crystal Palace
258,15-04-2023,Southampton,0 - 2,Crystal Palace
259,22-04-2023,Crystal Palace,0 - 0,Everton
260,25-04-2023,Wolves,2 - 0,Crystal Palace
261,29-04-2023,Crystal Palace,4 - 3,West Ham
262,06-05-2023,Tottenham,1 - 0,Crystal Palace
263,13-05-2023,Crystal Palace,2 - 0,Bournemouth
264,20-05-2023,Fulham,2 - 2,Crystal Palace
265,28-05-2023,Crystal Palace,1 - 1,Nott'm Forest
266,06-08-2022,Everton,0 - 1,Chelsea
267,13-08-2022,Aston Villa,2 - 1,Everton
268,20-08-2022,Everton,1 - 1,Nott'm Forest
269,27-08-2022,Brentford,1 - 1,Everton
270,30-08-2022,Leeds,1 - 1,Everton
271,03-09-2022,Everton,0 - 0,Liverpool
272,18-09-2022,Everton,1 - 0,West Ham
273,01-10-2022,Southampton,1 - 2,Everton
274,09-10-2022,Everton,1 - 2,Man United
275,15-10-2022,Tottenham,2 - 0,Everton
276,19-10-2022,Newcastle,1 - 0,Everton
277,22-10-2022,Everton,3 - 0,Crystal Palace
278,29-10-2022,Fulham,0 - 0,Everton
279,05-11-2022,Everton,0 - 2,Leicester
280,12-11-2022,Bournemouth,3 - 0,Everton
281,26-12-2022,Everton,1 - 2,Wolves
282,31-12-2022,Man City,1 - 1,Everton
283,03-01-2023,Everton,1 - 4,Brighton
284,14-01-2023,Everton,1 - 2,Southampton
285,21-01-2023,West Ham,2 - 0,Everton
286,04-02-2023,Everton,1 - 0,Arsenal
287,13-02-2023,Liverpool,2 - 0,Everton
288,18-02-2023,Everton,1 - 0,Leeds
