,date,home_team,score,away_team
367,08-04-2023,Arouca,1 - 0,Maritimo
368,15-04-2023,Maritimo,3 - 1,Pacos Ferreira
369,22-04-2023,FC Famalicão,3 - 2,Maritimo
370,29-04-2023,Maritimo,1 - 2,Guimaraes
371,07-05-2023,Maritimo,2 - 2,Rio Ave
372,13-05-2023,Sp Lisbon,2 - 1,Maritimo
373,19-05-2023,Maritimo,1 - 0,Vizela
374,27-05-2023,Estoril,3 - 1,Maritimo
375,03-06-2023,Estrela,2 - 1,Maritimo
376,08-08-2022,Gil Vicente,1 - 0,Pacos Ferreira
377,15-08-2022,Pacos Ferreira,0 - 3,Portimonense SC
378,26-08-2022,Pacos Ferreira,0 - 3,Estoril
379,30-08-2022,Benfica,3 - 2,Pacos Ferreira
380,05-09-2022,Boavista,1 - 0,Pacos Ferreira
381,11-09-2022,Pacos Ferreira,2 - 3,Casa Pia
382,17-09-2022,CD Santa Clara,1 - 1,Pacos Ferreira
383,02-10-2022,Pacos Ferreira,1 - 1,Arouca
384,08-10-2022,Pacos Ferreira,0 - 1,Guimaraes
385,22-10-2022,FC Famalicão,2 - 1,Pacos Ferreira
386,28-10-2022,Pacos Ferreira,0 - 1,Maritimo
387,05-11-2022,Porto,4 - 0,Pacos Ferreira
388,13-11-2022,Pacos Ferreira,0 - 2,Vizela
389,29-12-2022,Sp Lisbon,3 - 0,Pacos Ferreira
390,08-01-2023,Pacos Ferreira,1 - 1,Chaves
391,14-01-2023,Rio Ave,0 - 1,Pacos Ferreira
392,21-01-2023,Pacos Ferreira,1 - 2,Sp Braga
393,26-01-2023,Pacos Ferreira,0 - 2,Benfica
394,31-01-2023,Pacos Ferreira,2 - 1,Gil Vicente
395,06-02-2023,Portimonense SC,1 - 0,Pacos Ferreira
396,18-02-2023,Estoril,1 - 3,Pacos Ferreira
397,26-02-2023,Pacos Ferreira,1 - 3,Boavista
398,06-03-2023,Casa Pia,2 - 1,Pacos Ferreira
399,11-03-2023,Pacos Ferreira,1 - 0,CD Santa Clara
400,18-03-2023,Arouca,1 - 1,Pacos Ferreira
401,01-04-2023,Guimaraes,0 - 0,Pacos Ferreira
402,08-04-2023,Pacos Ferreira,1 - 3,FC Famalicão
403,15-04-2023,Maritimo,3 - 1,Pacos Ferreira
404,22-04-2023,Pacos Ferreira,0 - 2,Porto
405,29-04-2023,Vizela,1 - 2,Pacos Ferreira
406,07-05-2023,Pacos Ferreira,0 - 4,Sp Lisbon
407,13-05-2023,Chaves,2 - 0,Pacos Ferreira
408,21-05-2023,Pacos Ferreira,3 - 1,Rio Ave
409,27-05-2023,Sp Braga,3 - 0,Pacos Ferreira
410,07-08-2022,Portimonense SC,0 - 1,Boavista
411,15-08-2022,Pacos Ferreira,0 - 3,Portimonense SC
412,21-08-2022,Portimonense SC,2 - 1,Guimaraes
413,27-08-2022,Maritimo,0 - 1,Portimonense SC
414,04-09-2022,Portimonense SC,1 - 0,FC Famalicão
415,10-09-2022,Sp Lisbon,4 - 0,Portimonense SC
416,16-09-2022,Portimonense SC,1 - 0,Chaves
417,01-10-2022,Vizela,1 - 0,Portimonense SC
418,08-10-2022,Portimonense SC,0 - 2,Porto
419,24-10-2022,Rio Ave,1 - 0,Portimonense SC
420,30-10-2022,Portimonense SC,1 - 1,Estoril
421,04-11-2022,Gil Vicente,1 - 2,Portimonense SC
422,13-11-2022,Portimonense SC,1 - 2,Sp Braga
423,28-12-2022,Portimonense SC,1 - 2,Casa Pia
424,06-01-2023,Benfica,1 - 0,Portimonense SC
425,13-01-2023,Portimonense SC,0 - 0,CD Santa Clara
426,20-01-2023,Arouca,4 - 0,Portimonense SC
427,29-01-2023,Boavista,4 - 2,Portimonense SC
428,06-02-2023,Portimonense SC,1 - 0,Pacos Ferreira
429,11-02-2023,Guimaraes,1 - 0,Portimonense SC
430,18-02-2023,Portimonense SC,2 - 1,Maritimo
431,24-02-2023,FC Famalicão,1 - 0,Portimonense SC
432,04-03-2023,Portimonense SC,0 - 1,Sp Lisbon
433,11-03-2023,Chaves,2 - 0,Portimonense SC
434,18-03-2023,Portimonense SC,0 - 1,Vizela
435,02-04-2023,Porto,1 - 0,Portimonense SC
436,08-04-2023,Portimonense SC,2 - 2,Rio Ave
437,15-04-2023,Estoril,0 - 1,Portimonense SC
438,23-04-2023,Portimonense SC,1 - 0,Gil Vicente
439,29-04-2023,Sp Braga,4 - 1,Portimonense SC
440,05-05-2023,Casa Pia,1 - 1,Portimonense SC
441,13-05-2023,Portimonense SC,1 - 5,Benfica
442,20-05-2023,CD Santa Clara,1 - 0,Portimonense SC
443,27-05-2023,Portimonense SC,0 - 2,Arouca
444,06-08-2022,Porto,5 - 1,Maritimo
445,14-08-2022,Vizela,0 - 1,Porto
446,20-08-2022,Porto,3 - 0,Sp Lisbon
447,28-08-2022,Rio Ave,3 - 1,Porto
448,03-09-2022,Gil Vicente,0 - 2,Porto
449,10-09-2022,Porto,3 - 0,Chaves
450,17-09-2022,Estoril,1 - 1,Porto
451,30-09-2022,Porto,4 - 1,Sp Braga
452,08-10-2022,Portimonense SC,0 - 2,Porto
453,21-10-2022,Porto,0 - 1,Benfica
454,29-10-2022,CD Santa Clara,1 - 1,Porto
455,05-11-2022,Porto,4 - 0,Pacos Ferreira
456,12-11-2022,Boavista,1 - 4,Porto
457,28-12-2022,Porto,5 - 1,Arouca
458,07-01-2023,Casa Pia,0 - 0,Porto
459,15-01-2023,Porto,4 - 1,FC Famalicão
460,21-01-2023,Guimaraes,0 - 1,Porto
461,01-02-2023,Maritimo,0 - 2,Porto
462,05-02-2023,Porto,2 - 0,Vizela
463,12-02-2023,Sp Lisbon,1 - 2,Porto
464,18-02-2023,Porto,1 - 0,Rio Ave
465,26-02-2023,Porto,1 - 2,Gil Vicente
466,04-03-2023,Chaves,1 - 3,Porto
467,10-03-2023,Porto,3 - 2,Estoril
468,19-03-2023,Sp Braga,0 - 0,Porto
469,02-04-2023,Porto,1 - 0,Portimonense SC
470,07-04-2023,Benfica,1 - 2,Porto
471,15-04-2023,Porto,2 - 1,CD Santa Clara
472,22-04-2023,Pacos Ferreira,0 - 2,Porto
473,30-04-2023,Porto,1 - 0,Boavista
474,08-05-2023,Arouca,0 - 1,Porto
475,14-05-2023,Porto,2 - 1,Casa Pia
476,20-05-2023,FC Famalicão,2 - 4,Porto
477,27-05-2023,Porto,3 - 0,Guimaraes
478,06-08-2022,Rio Ave,0 - 1,Vizela
479,13-08-2022,Sp Lisbon,3 - 0,Rio Ave
480,19-08-2022,Estoril,2 - 2,Rio Ave
481,28-08-2022,Rio Ave,3 - 1,Porto
482,05-09-2022,Chaves,1 - 1,Rio Ave
483,11-09-2022,Rio Ave,2 - 3,Sp Braga
484,17-09-2022,Gil Vicente,2 - 2,Rio Ave
485,02-10-2022,Rio Ave,1 - 0,CD Santa Clara
486,08-10-2022,Benfica,4 - 2,Rio Ave
487,24-10-2022,Rio Ave,1 - 0,Portimonense SC
488,30-10-2022,Casa Pia,1 - 0,Rio Ave
489,06-11-2022,Rio Ave,1 - 0,Boavista
490,12-11-2022,Arouca,0 - 1,Rio Ave
491,23-12-2022,Rio Ave,1 - 1,Maritimo
492,07-01-2023,Guimaraes,0 - 0,Rio Ave
