,date,home_team,score,away_team
241,30-10-2022,FK Austria Vienna,2 - 1,SCR Altach
242,06-11-2022,SCR Altach,1 - 1,SK Sturm Graz
243,12-11-2022,Austria Lustenau,3 - 0,SCR Altach
244,12-02-2023,SCR Altach,0 - 1,LASK Linz
245,19-02-2023,Rapid Vienna,3 - 0,SCR Altach
246,26-02-2023,SCR Altach,0 - 0,Swarovski Watt
247,05-03-2023,Austria Klagenfurt,3 - 0,SCR Altach
248,12-03-2023,SCR Altach,1 - 2,SV Ried
249,19-03-2023,FC Salzburg,1 - 1,SCR Altach
250,01-04-2023,SCR Altach,1 - 0,Swarovski Watt
251,08-04-2023,Austria Lustenau,1 - 0,SCR Altach
252,15-04-2023,Hartberg,2 - 2,SCR Altach
253,22-04-2023,SCR Altach,1 - 1,SV Ried
254,28-04-2023,SCR Altach,0 - 2,Wolfsberger AC
255,05-05-2023,Wolfsberger AC,0 - 0,SCR Altach
256,13-05-2023,SCR Altach,0 - 1,Hartberg
257,19-05-2023,SV Ried,0 - 1,SCR Altach
258,27-05-2023,SCR Altach,1 - 1,Austria Lustenau
259,02-06-2023,Swarovski Watt,1 - 1,SCR Altach
260,23-07-2022,Wolfsberger AC,1 - 1,SK Sturm Graz
261,30-07-2022,SK Sturm Graz,2 - 1,FC Salzburg
262,06-08-2022,SV Ried,1 - 1,SK Sturm Graz
263,13-08-2022,SK Sturm Graz,4 - 0,SCR Altach
264,20-08-2022,SK Sturm Graz,0 - 1,LASK Linz
265,28-08-2022,Rapid Vienna,1 - 2,SK Sturm Graz
266,03-09-2022,SK Sturm Graz,0 - 0,Hartberg
267,11-09-2022,Austria Klagenfurt,0 - 2,SK Sturm Graz
268,18-09-2022,SK Sturm Graz,2 - 0,Austria Lustenau
269,02-10-2022,FK Austria Vienna,0 - 3,SK Sturm Graz
270,09-10-2022,SK Sturm Graz,2 - 1,Swarovski Watt
271,16-10-2022,SK Sturm Graz,3 - 2,Wolfsberger AC
272,22-10-2022,FC Salzburg,0 - 0,SK Sturm Graz
273,30-10-2022,SK Sturm Graz,2 - 1,SV Ried
274,06-11-2022,SCR Altach,1 - 1,SK Sturm Graz
275,13-11-2022,LASK Linz,1 - 1,SK Sturm Graz
276,10-02-2023,SK Sturm Graz,1 - 0,Rapid Vienna
277,18-02-2023,Hartberg,1 - 2,SK Sturm Graz
278,25-02-2023,SK Sturm Graz,1 - 2,Austria Klagenfurt
279,04-03-2023,Austria Lustenau,0 - 2,SK Sturm Graz
280,12-03-2023,SK Sturm Graz,3 - 1,FK Austria Vienna
281,19-03-2023,Swarovski Watt,0 - 2,SK Sturm Graz
282,02-04-2023,SK Sturm Graz,3 - 1,Rapid Vienna
283,09-04-2023,LASK Linz,2 - 1,SK Sturm Graz
